Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,3.950000,4.100000,3.910000,3.960000,3.960000,179800
2020-08-28,3.950000,4.300000,3.950000,4.230000,4.230000,314700
2020-08-31,4.250000,4.350000,4.110000,4.250000,4.250000,282300
2020-09-01,4.220000,4.590000,4.150000,4.490000,4.490000,687100
2020-09-02,4.480000,4.510000,4.300000,4.350000,4.350000,230500
2020-09-03,4.330000,4.510000,4.180000,4.190000,4.190000,274700
2020-09-04,4.180000,4.350000,3.990000,4.060000,4.060000,307800
2020-09-08,4.060000,4.070000,3.900000,3.900000,3.900000,179200
2020-09-09,3.880000,4.010000,3.700000,3.730000,3.730000,220200
2020-09-10,3.760000,4.000000,3.760000,3.950000,3.950000,264700
2020-09-11,4.010000,4.180000,3.870000,4.140000,4.140000,319800
2020-09-14,4.290000,5.000000,4.290000,4.830000,4.830000,1348200
2020-09-15,4.950000,5.820000,4.810000,5.330000,5.330000,1273300
2020-09-16,5.300000,6.390000,5.300000,5.920000,5.920000,2008400
2020-09-17,5.970000,6.690000,5.720000,6.190000,6.190000,2107100
2020-09-18,6.400000,6.600000,6.040000,6.050000,6.050000,2272600
2020-09-21,6.300000,6.850000,6.110000,6.580000,6.580000,1682500
2020-09-22,6.620000,7.360000,6.520000,7.090000,7.090000,1721800
2020-09-23,7.020000,7.350000,6.110000,6.220000,6.220000,1799300
2020-09-24,6.190000,6.550000,6.020000,6.240000,6.240000,670300
2020-09-25,6.250000,6.450000,5.980000,6.120000,6.120000,606400
2020-09-28,6.190000,6.550000,6.140000,6.170000,6.170000,579700
2020-09-29,6.270000,7.090000,6.270000,6.490000,6.490000,1373200
2020-09-30,6.470000,6.660000,6.080000,6.210000,6.210000,1238100
2020-10-01,6.320000,7.820000,6.320000,7.790000,7.790000,3957400
2020-10-02,7.430000,8.150000,7.310000,7.930000,7.930000,1691200
2020-10-05,8.120000,8.720000,8.020000,8.700000,8.700000,2475200
2020-10-06,8.770000,9.320000,8.650000,9.000000,9.000000,1785100
2020-10-07,9.160000,9.720000,8.260000,8.800000,8.800000,1731400
2020-10-08,8.770000,9.320000,8.200000,8.570000,8.570000,1446700
2020-10-09,8.550000,8.840000,8.380000,8.550000,8.550000,549500
2020-10-12,8.630000,8.740000,8.420000,8.490000,8.490000,447400
2020-10-13,8.480000,9.090000,8.300000,8.750000,8.750000,695500
2020-10-14,8.860000,8.990000,8.550000,8.900000,8.900000,466300
2020-10-15,8.650000,9.550000,8.580000,9.450000,9.450000,837600
2020-10-16,9.440000,9.450000,8.910000,9.140000,9.140000,587100
2020-10-19,9.220000,9.490000,9.080000,9.160000,9.160000,926800
2020-10-20,9.270000,10.480000,9.040000,10.050000,10.050000,2316300
2020-10-21,11.210000,11.880000,8.940000,8.950000,8.950000,6739000
2020-10-22,8.770000,9.540000,8.250000,9.510000,9.510000,2084600
2020-10-23,9.520000,10.190000,9.520000,9.840000,9.840000,1843500
2020-10-26,9.780000,10.000000,8.720000,9.120000,9.120000,1444000
2020-10-27,9.240000,9.440000,8.940000,9.240000,9.240000,883600
2020-10-28,8.980000,9.190000,8.430000,8.820000,8.820000,1026500
2020-10-29,8.810000,9.780000,8.810000,9.550000,9.550000,1181900
2020-10-30,9.410000,9.630000,8.910000,9.520000,9.520000,899000
2020-11-02,9.570000,10.020000,9.100000,9.440000,9.440000,1222000
2020-11-03,9.690000,9.770000,9.240000,9.520000,9.520000,701400
2020-11-04,9.470000,9.900000,9.330000,9.710000,9.710000,863400
2020-11-05,10.400000,10.940000,10.050000,10.190000,10.190000,1293500
2020-11-06,10.050000,10.360000,9.640000,9.740000,9.740000,895400
2020-11-09,10.750000,10.750000,9.290000,9.460000,9.460000,1281300
2020-11-10,9.500000,10.550000,9.310000,10.100000,10.100000,1257200
2020-11-11,10.050000,10.340000,9.540000,10.040000,10.040000,782500
2020-11-12,10.040000,10.400000,9.810000,9.980000,9.980000,769900
2020-11-13,10.150000,10.420000,9.860000,9.980000,9.980000,578600
2020-11-16,10.080000,10.100000,9.600000,9.740000,9.740000,648700
2020-11-17,9.630000,10.250000,9.520000,9.750000,9.750000,1550600
2020-11-18,9.750000,10.150000,9.550000,9.690000,9.690000,721600
2020-11-19,9.600000,10.590000,9.550000,10.380000,10.380000,3324100
2020-11-20,10.750000,11.330000,10.610000,11.100000,11.100000,2823800
2020-11-23,11.260000,11.440000,9.180000,9.310000,9.310000,4226200
2020-11-24,9.460000,9.460000,8.780000,9.270000,9.270000,2907700
2020-11-25,9.160000,9.390000,8.750000,9.130000,9.130000,950600
2020-11-27,9.060000,9.840000,9.030000,9.580000,9.580000,928200
2020-11-30,9.640000,9.730000,8.910000,9.300000,9.300000,1371300
2020-12-01,9.510000,9.720000,9.120000,9.390000,9.390000,671800
2020-12-02,9.250000,9.890000,9.070000,9.500000,9.500000,977200
2020-12-03,9.480000,9.840000,9.320000,9.640000,9.640000,776300
2020-12-04,9.700000,10.280000,9.510000,9.970000,9.970000,1618100
2020-12-07,10.050000,10.050000,9.400000,9.790000,9.790000,930100
2020-12-08,9.700000,10.150000,9.700000,9.910000,9.910000,611800
2020-12-09,10.000000,11.070000,9.910000,10.820000,10.820000,1443200
2020-12-10,10.640000,11.430000,10.030000,10.780000,10.780000,1271200
2020-12-11,10.760000,10.980000,10.410000,10.520000,10.520000,447000
2020-12-14,10.640000,10.750000,10.010000,10.440000,10.440000,668200
2020-12-15,10.400000,10.940000,10.190000,10.810000,10.810000,825900
2020-12-16,10.850000,10.970000,10.360000,10.580000,10.580000,742700
2020-12-17,10.730000,11.160000,10.490000,10.810000,10.810000,944000
2020-12-18,10.840000,10.980000,9.820000,9.990000,9.990000,1296800
2020-12-21,9.680000,10.190000,9.560000,10.010000,10.010000,730200
2020-12-22,10.510000,12.170000,10.160000,12.040000,12.040000,3324700
2020-12-23,12.130000,13.840000,12.100000,12.820000,12.820000,2774100
2020-12-24,12.900000,12.950000,11.930000,12.210000,12.210000,886700
2020-12-28,12.380000,12.420000,10.750000,10.800000,10.800000,1310800
2020-12-29,10.960000,11.000000,9.720000,9.870000,9.870000,2109300
2020-12-30,9.880000,10.190000,9.720000,9.740000,9.740000,835900
2020-12-31,9.820000,9.940000,9.470000,9.540000,9.540000,1417400
2021-01-04,9.540000,9.830000,9.230000,9.720000,9.720000,953700
2021-01-05,9.630000,9.940000,9.450000,9.790000,9.790000,1128100
2021-01-06,9.750000,11.100000,9.750000,11.070000,11.070000,1389100
2021-01-07,10.930000,11.620000,10.850000,11.350000,11.350000,1030700
2021-01-08,11.450000,11.660000,11.210000,11.360000,11.360000,701200
2021-01-11,11.140000,11.710000,10.630000,11.480000,11.480000,653500
2021-01-12,11.540000,12.060000,11.540000,12.040000,12.040000,630500
2021-01-13,12.170000,13.240000,11.950000,12.670000,12.670000,1642200
2021-01-14,12.800000,13.170000,12.350000,12.800000,12.800000,940600
2021-01-15,12.800000,12.980000,11.290000,11.680000,11.680000,962000
2021-01-19,11.900000,12.190000,11.530000,11.900000,11.900000,442700
2021-01-20,12.010000,12.100000,11.350000,11.720000,11.720000,477900
2021-01-21,11.760000,12.750000,11.760000,12.350000,12.350000,577800
2021-01-22,12.190000,12.530000,12.020000,12.430000,12.430000,470100
2021-01-25,12.760000,14.560000,12.760000,13.150000,13.150000,1341600
2021-01-26,13.300000,13.540000,12.480000,12.940000,12.940000,627500
2021-01-27,12.580000,14.150000,12.540000,13.220000,13.220000,1086000
2021-01-28,13.250000,14.210000,12.700000,13.270000,13.270000,856400
2021-01-29,13.340000,14.250000,13.160000,13.630000,13.630000,1069900
2021-02-01,14.200000,15.720000,13.920000,15.510000,15.510000,2043100
2021-02-02,15.620000,15.760000,14.290000,14.810000,14.810000,1995700
2021-02-03,14.540000,17.170000,14.540000,15.570000,15.570000,3025700
2021-02-04,15.830000,16.250000,15.270000,15.610000,15.610000,1351900
2021-02-05,15.710000,15.970000,15.000000,15.760000,15.760000,1331300
2021-02-08,15.580000,15.760000,14.500000,15.410000,15.410000,2945200
2021-02-09,15.410000,15.540000,14.740000,15.120000,15.120000,1148400
2021-02-10,15.200000,15.400000,14.500000,15.080000,15.080000,1439700
2021-02-11,15.050000,16.410000,14.720000,15.840000,15.840000,2962700
2021-02-12,15.870000,16.219999,15.330000,16.020000,16.020000,1019500
2021-02-16,16.049999,16.200001,14.810000,15.450000,15.450000,1441100
2021-02-17,15.360000,15.630000,14.870000,15.120000,15.120000,1523800
2021-02-18,15.890000,17.650000,15.650000,16.879999,16.879999,4298400
2021-02-19,16.910000,18.480000,16.730000,17.450001,17.450001,3400100
2021-02-22,17.350000,17.400000,15.500000,15.540000,15.540000,1771900
2021-02-23,15.380000,15.640000,14.340000,15.400000,15.400000,2063200
2021-02-24,15.400000,15.960000,15.070000,15.680000,15.680000,1104600
2021-02-25,15.720000,16.110001,14.430000,14.550000,14.550000,1291900
2021-02-26,14.830000,15.780000,14.570000,15.330000,15.330000,823000
2021-03-01,15.510000,16.350000,15.450000,16.260000,16.260000,871100
2021-03-02,16.350000,16.850000,16.170000,16.440001,16.440001,995600
2021-03-03,16.430000,16.709999,15.560000,16.370001,16.370001,1188600
2021-03-04,16.010000,16.600000,14.890000,15.730000,15.730000,1630700
2021-03-05,15.840000,15.890000,13.900000,15.190000,15.190000,1865200
2021-03-08,15.350000,16.480000,15.270000,15.490000,15.490000,867800
2021-03-09,15.920000,16.990000,15.920000,16.879999,16.879999,1257000
2021-03-10,16.799999,17.370001,16.080000,16.340000,16.340000,1507300
2021-03-11,16.690001,17.450001,16.230000,17.450001,17.450001,1284500
2021-03-12,17.250000,18.379999,16.879999,18.299999,18.299999,1359000
2021-03-15,18.260000,19.200001,17.780001,19.190001,19.190001,1113600
2021-03-16,19.150000,19.309999,16.959999,17.400000,17.400000,2189100
2021-03-17,17.510000,18.150000,17.320000,17.799999,17.799999,1056700
2021-03-18,17.830000,18.570000,17.330000,17.530001,17.530001,627900
2021-03-19,17.500000,18.139999,17.270000,17.510000,17.510000,2057300
2021-03-22,17.510000,17.680000,16.709999,16.959999,16.959999,594300
2021-03-23,16.750000,17.160000,16.180000,16.360001,16.360001,758900
2021-03-24,16.410000,16.620001,15.510000,15.550000,15.550000,1368900
2021-03-25,15.260000,16.340000,15.060000,16.209999,16.209999,799200
2021-03-26,16.350000,16.809999,16.040001,16.629999,16.629999,545600
2021-03-29,16.440001,16.790001,15.500000,15.520000,15.520000,819400
2021-03-30,15.550000,16.389999,15.550000,16.180000,16.180000,642500
2021-03-31,16.360001,16.980000,16.120001,16.639999,16.639999,998100
2021-04-01,16.820000,16.990000,16.030001,16.420000,16.420000,832100
2021-04-05,16.620001,16.650000,15.410000,16.280001,16.280001,1273800
2021-04-06,16.360001,16.850000,16.129999,16.309999,16.309999,546400
2021-04-07,16.120001,16.200001,15.700000,15.960000,15.960000,577300
2021-04-08,16.070000,16.719999,15.880000,16.320000,16.320000,843800
2021-04-09,16.230000,16.540001,16.080000,16.389999,16.389999,256500
2021-04-12,16.350000,17.879999,14.770000,15.250000,15.250000,2579000
2021-04-13,15.330000,15.670000,15.070000,15.560000,15.560000,940500
2021-04-14,15.460000,15.670000,15.020000,15.240000,15.240000,548900
2021-04-15,15.440000,15.440000,14.750000,14.840000,14.840000,700300
2021-04-16,14.940000,15.320000,14.430000,15.170000,15.170000,594700
2021-04-19,15.010000,15.140000,14.530000,15.040000,15.040000,1116900
2021-04-20,14.940000,15.160000,14.360000,14.470000,14.470000,812800
2021-04-21,14.460000,15.200000,14.200000,15.040000,15.040000,1374600
2021-04-22,15.050000,15.490000,14.750000,15.030000,15.030000,623500
2021-04-23,15.080000,15.670000,15.000000,15.470000,15.470000,629600
2021-04-26,15.530000,15.620000,14.770000,14.900000,14.900000,645700
2021-04-27,14.880000,15.220000,14.760000,14.770000,14.770000,466100
2021-04-28,14.670000,15.010000,14.330000,14.940000,14.940000,644600
2021-04-29,15.030000,15.060000,14.240000,14.560000,14.560000,703900
2021-04-30,14.480000,14.580000,14.010000,14.090000,14.090000,928100
2021-05-03,14.260000,14.480000,13.310000,13.480000,13.480000,1838400
2021-05-04,13.310000,13.450000,12.760000,13.230000,13.230000,877200
2021-05-05,13.400000,13.400000,12.460000,12.640000,12.640000,823200
2021-05-06,12.810000,13.300000,12.680000,13.230000,13.230000,813300
2021-05-07,13.270000,13.690000,13.160000,13.620000,13.620000,638100
2021-05-10,13.410000,13.550000,13.080000,13.200000,13.200000,579200
2021-05-11,12.770000,13.510000,12.500000,13.490000,13.490000,738100
2021-05-12,13.250000,13.370000,12.740000,12.840000,12.840000,1001200
2021-05-13,13.000000,13.420000,12.670000,13.010000,13.010000,615400
2021-05-14,13.220000,13.700000,13.140000,13.530000,13.530000,550300
2021-05-17,13.420000,13.900000,13.040000,13.260000,13.260000,531800
2021-05-18,13.410000,13.460000,12.710000,13.100000,13.100000,1684500
2021-05-19,12.700000,12.990000,11.430000,11.650000,11.650000,2512700
2021-05-20,11.850000,12.540000,11.800000,12.320000,12.320000,1081900
2021-05-21,12.990000,13.760000,12.750000,13.420000,13.420000,1905100
2021-05-24,13.490000,13.500000,12.550000,12.840000,12.840000,1002400
2021-05-25,12.960000,13.310000,12.860000,12.900000,12.900000,922900
2021-05-26,13.040000,13.960000,13.000000,13.790000,13.790000,1141700
2021-05-27,13.940000,14.050000,13.400000,13.970000,13.970000,1161600
2021-05-28,14.130000,14.140000,13.470000,13.560000,13.560000,534500
2021-06-01,13.650000,13.820000,13.210000,13.220000,13.220000,601200
2021-06-02,13.340000,13.660000,13.060000,13.460000,13.460000,645900
2021-06-03,13.250000,13.250000,12.900000,12.990000,12.990000,553300
2021-06-04,13.100000,13.160000,12.900000,13.050000,13.050000,480200
2021-06-07,13.130000,13.570000,13.130000,13.500000,13.500000,558800
2021-06-08,13.660000,14.000000,13.540000,13.860000,13.860000,674800
2021-06-09,13.810000,14.000000,13.580000,13.820000,13.820000,729700
2021-06-10,13.790000,13.950000,13.420000,13.630000,13.630000,675600
2021-06-11,13.690000,14.000000,13.600000,13.850000,13.850000,620300
2021-06-14,13.840000,14.000000,13.440000,13.490000,13.490000,443000
2021-06-15,13.410000,13.440000,12.910000,13.050000,13.050000,377200
2021-06-16,12.900000,12.970000,12.460000,12.920000,12.920000,441400
2021-06-17,12.950000,13.130000,12.580000,12.770000,12.770000,483400
2021-06-18,12.580000,12.730000,12.100000,12.200000,12.200000,913800
2021-06-21,12.360000,12.630000,12.260000,12.410000,12.410000,588800
2021-06-22,12.410000,12.490000,12.040000,12.370000,12.370000,679300
2021-06-23,12.380000,12.700000,12.330000,12.600000,12.600000,359200
2021-06-24,12.820000,13.190000,12.630000,12.850000,12.850000,719300
2021-06-25,12.890000,13.380000,12.750000,13.220000,13.220000,984400
